"global_step","env.gym_name: Delivery-v0 - _step","env.gym_name: Delivery-v0 - _step__MIN","env.gym_name: Delivery-v0 - _step__MAX","env.gym_name: Delivery-v0 - learning/fsa_reward","env.gym_name: Delivery-v0 - learning/fsa_reward__MIN","env.gym_name: Delivery-v0 - learning/fsa_reward__MAX"
"500","1","1","1","-867.75","-1004","-200"
"1000","2","2","2","-868.3333333333334","-1005","-200"
"1500","3","3","3","-601.25","-1010","-200"
"2000","4","4","4","-667.1666666666666","-1004","-200"
"2500","5","5","5","-200","-200","-200"
"3000","6","6","6","-200","-200","-200"
"3500","7","7","7","-200","-200","-200"
"4000","8","8","8","-200","-200","-200"
"4500","9","9","9","-200","-200","-200"
"5000","10","10","10","-200","-200","-200"
"5500","11","11","11","-200","-200","-200"
"6000","12","12","12","-200","-200","-200"
"6500","13","13","13","-200","-200","-200"
"7000","14","14","14","-200","-200","-200"
"7500","15","15","15","-200","-200","-200"
"8000","16","16","16","-200","-200","-200"
"8500","17","17","17","-200","-200","-200"
"9000","18","18","18","-200","-200","-200"
"9500","19","19","19","-200","-200","-200"
"10000","20","20","20","-200","-200","-200"
"10500","21","21","21","-200","-200","-200"
"11000","22","22","22","-200","-200","-200"
"11500","23","23","23","-200","-200","-200"
"12000","24","24","24","-200","-200","-200"
"12500","25","25","25","-200","-200","-200"
"13000","26","26","26","-200","-200","-200"
"13500","27","27","27","-200","-200","-200"
"14000","28","28","28","-200","-200","-200"
"14500","29","29","29","-200","-200","-200"
"15000","30","30","30","-200","-200","-200"
"15500","31","31","31","-200","-200","-200"
"16000","32","32","32","-200","-200","-200"
"16500","33","33","33","-200","-200","-200"
"17000","34","34","34","-200","-200","-200"
"17500","35","35","35","-200","-200","-200"
"18000","36","36","36","-200","-200","-200"
"18500","37","37","37","-200","-200","-200"
"19000","38","38","38","-200","-200","-200"
"19500","39","39","39","-200","-200","-200"
"20000","40","40","40","-200","-200","-200"
"20500","41","41","41","-200","-200","-200"
"21000","42","42","42","-200","-200","-200"
"21500","43","43","43","-186.5","-200","-38"
"22000","44","44","44","-186.5","-200","-38"
"22500","45","45","45","-186.5","-200","-38"
"23000","46","46","46","-200","-200","-200"
"23500","47","47","47","-200","-200","-200"
"24000","48","48","48","-186.5","-200","-38"
"24500","49","49","49","-186.5","-200","-38"
"25000","50","50","50","-173","-200","-38"
"25500","51","51","51","-173","-200","-38"
"26000","52","52","52","-186.5","-200","-38"
"26500","53","53","53","-200","-200","-200"
"27000","54","54","54","-186.5","-200","-38"
"27500","55","55","55","-200","-200","-200"
"28000","56","56","56","-200","-200","-200"
"28500","57","57","57","-200","-200","-200"
"29000","58","58","58","-200","-200","-200"
"29500","59","59","59","-200","-200","-200"
"30000","60","60","60","-200","-200","-200"
"30500","61","61","61","-160.16666666666666","-200","-38"
"31000","62","62","62","-160.16666666666666","-200","-38"
"31500","63","63","63","-186.5","-200","-38"
"32000","64","64","64","-186.5","-200","-38"
"32500","65","65","65","-173","-200","-38"
"33000","66","66","66","-173","-200","-38"
"33500","67","67","67","-159.5","-200","-38"
"34000","68","68","68","-119.33333333333333","-200","-38"
"34500","69","69","69","-119.33333333333333","-200","-38"
"35000","70","70","70","-146","-200","-38"
"35500","71","71","71","-146","-200","-38"
"36000","72","72","72","-132.5","-200","-38"
"36500","73","73","73","-119","-200","-38"
"37000","74","74","74","-78.83333333333333","-200","-38"
"37500","75","75","75","-105.5","-200","-38"
"38000","76","76","76","-132.5","-200","-38"
"38500","77","77","77","-132.5","-200","-38"
"39000","78","78","78","-132.5","-200","-38"
"39500","79","79","79","-146","-200","-38"
"40000","80","80","80","-159.5","-200","-38"
"40500","81","81","81","-159.5","-200","-38"
"41000","82","82","82","-173","-200","-38"
"41500","83","83","83","-186.5","-200","-38"
"42000","84","84","84","-173","-200","-38"
"42500","85","85","85","-132.5","-200","-38"
"43000","86","86","86","-132.5","-200","-38"
"43500","87","87","87","-119","-200","-38"
"44000","88","88","88","-119.66666666666667","-200","-38"
"44500","89","89","89","-106.16666666666667","-200","-38"
"45000","90","90","90","-132.5","-200","-38"
"45500","91","91","91","-65.66666666666667","-200","-38"
"46000","92","92","92","-92.66666666666667","-200","-38"
"46500","93","93","93","-120","-200","-38"
"47000","94","94","94","-93.33333333333333","-200","-38"
"47500","95","95","95","-132.83333333333334","-200","-38"
"48000","96","96","96","-105.83333333333333","-200","-38"
"48500","97","97","97","-105.5","-200","-38"
"49000","98","98","98","-105.83333333333333","-200","-38"
"49500","99","99","99","-132.83333333333334","-200","-38"
"50000","100","100","100","-146","-200","-38"
"50500","101","101","101","-146","-200","-38"
"51000","102","102","102","-146","-200","-38"
"51500","103","103","103","-132.5","-200","-38"
"52000","104","104","104","-92","-200","-38"
"52500","105","105","105","-92","-200","-38"
"53000","106","106","106","-92","-200","-38"
"53500","107","107","107","-92","-200","-38"
"54000","108","108","108","-92","-200","-38"
"54500","109","109","109","-92","-200","-38"
"55000","110","110","110","-105.5","-200","-38"
"55500","111","111","111","-79.16666666666667","-200","-38"
"56000","112","112","112","-78.5","-200","-38"
"56500","113","113","113","-65","-200","-38"
"57000","114","114","114","-65","-200","-38"
"57500","115","115","115","-51.5","-200","-38"
"58000","116","116","116","-51.5","-200","-38"
"58500","117","117","117","-51.5","-200","-38"
"59000","118","118","118","-51.5","-200","-38"
"59500","119","119","119","-78.5","-200","-38"
"60000","120","120","120","-78.5","-200","-38"
"60500","121","121","121","-65","-200","-38"
"61000","122","122","122","-65","-200","-38"
"61500","123","123","123","-65","-200","-38"
"62000","124","124","124","-65","-200","-38"
"62500","125","125","125","-78.5","-200","-38"
"63000","126","126","126","-51.5","-200","-38"
"63500","127","127","127","-78.5","-200","-38"
"64000","128","128","128","-78.5","-200","-38"
"64500","129","129","129","-65","-200","-38"
"65000","130","130","130","-65","-200","-38"
"65500","131","131","131","-65","-200","-38"
"66000","132","132","132","-65","-200","-38"
"66500","133","133","133","-65","-200","-38"
"67000","134","134","134","-65","-200","-38"
"67500","135","135","135","-65","-200","-38"
"68000","136","136","136","-78.5","-200","-38"
"68500","137","137","137","-78.5","-200","-38"
"69000","138","138","138","-78.5","-200","-38"
"69500","139","139","139","-51.5","-200","-38"
"70000","140","140","140","-51.5","-200","-38"
"70500","141","141","141","-78.5","-200","-38"
"71000","142","142","142","-78.5","-200","-38"
"71500","143","143","143","-78.5","-200","-38"
"72000","144","144","144","-65","-200","-38"
"72500","145","145","145","-65","-200","-38"
"73000","146","146","146","-65","-200","-38"
"73500","147","147","147","-65","-200","-38"
"74000","148","148","148","-65","-200","-38"
"74500","149","149","149","-38","-38","-38"
"75000","150","150","150","-38","-38","-38"
"75500","151","151","151","-65","-200","-38"
"76000","152","152","152","-65","-200","-38"
"76500","153","153","153","-65","-200","-38"
"77000","154","154","154","-65","-200","-38"
"77500","155","155","155","-65","-200","-38"
"78000","156","156","156","-65","-200","-38"
"78500","157","157","157","-65","-200","-38"
"79000","158","158","158","-65","-200","-38"
"79500","159","159","159","-65","-200","-38"
"80000","160","160","160","-65","-200","-38"
"80500","161","161","161","-65","-200","-38"
"81000","162","162","162","-65","-200","-38"
"81500","163","163","163","-65","-200","-38"
"82000","164","164","164","-65","-200","-38"
"82500","165","165","165","-65","-200","-38"
"83000","166","166","166","-38","-38","-38"
"83500","167","167","167","-38","-38","-38"
"84000","168","168","168","-38","-38","-38"
"84500","169","169","169","-65","-200","-38"
"85000","170","170","170","-65","-200","-38"
"85500","171","171","171","-65","-200","-38"
"86000","172","172","172","-65","-200","-38"
"86500","173","173","173","-65","-200","-38"
"87000","174","174","174","-65","-200","-38"
"87500","175","175","175","-65","-200","-38"
"88000","176","176","176","-65","-200","-38"
"88500","177","177","177","-65","-200","-38"
"89000","178","178","178","-65","-200","-38"
"89500","179","179","179","-38","-38","-38"
"90000","180","180","180","-38","-38","-38"
"90500","181","181","181","-38","-38","-38"
"91000","182","182","182","-38","-38","-38"
"91500","183","183","183","-38","-38","-38"
"92000","184","184","184","-38","-38","-38"
"92500","185","185","185","-38","-38","-38"
"93000","186","186","186","-38","-38","-38"
"93500","187","187","187","-38","-38","-38"
"94000","188","188","188","-38","-38","-38"
"94500","189","189","189","-38","-38","-38"
"95000","190","190","190","-38","-38","-38"
"95500","191","191","191","-38","-38","-38"
"96000","192","192","192","-65","-200","-38"
"96500","193","193","193","-65","-200","-38"
"97000","194","194","194","-65","-200","-38"
"97500","195","195","195","-65","-200","-38"
"98000","196","196","196","-65","-200","-38"
"98500","197","197","197","-65","-200","-38"
"99000","198","198","198","-38","-38","-38"
"99500","199","199","199","-38","-38","-38"
"100000","200","200","200","-38","-38","-38"
"100500","201","201","201","-38","-38","-38"
"101000","202","202","202","-38","-38","-38"
"101500","203","203","203","-38","-38","-38"
"102000","204","204","204","-38","-38","-38"
"102500","205","205","205","-38","-38","-38"
"103000","206","206","206","-38","-38","-38"
"103500","207","207","207","-38","-38","-38"
"104000","208","208","208","-38","-38","-38"
"104500","209","209","209","-38","-38","-38"
"105000","210","210","210","-38","-38","-38"
"105500","211","211","211","-38","-38","-38"
"106000","212","212","212","-38","-38","-38"
"106500","213","213","213","-38","-38","-38"
"107000","214","214","214","-38","-38","-38"
"107500","215","215","215","-38","-38","-38"
"108000","216","216","216","-38","-38","-38"
"108500","217","217","217","-38","-38","-38"
"109000","218","218","218","-38","-38","-38"
"109500","219","219","219","-38","-38","-38"
"110000","220","220","220","-38","-38","-38"
"110500","221","221","221","-38","-38","-38"
"111000","222","222","222","-38","-38","-38"
"111500","223","223","223","-38","-38","-38"
"112000","224","224","224","-38","-38","-38"
"112500","225","225","225","-38","-38","-38"
"113000","226","226","226","-38","-38","-38"
"113500","227","227","227","-38","-38","-38"
"114000","228","228","228","-38","-38","-38"
"114500","229","229","229","-38","-38","-38"
"115000","230","230","230","-38","-38","-38"
"115500","231","231","231","-38","-38","-38"
"116000","232","232","232","-38","-38","-38"
"116500","233","233","233","-38","-38","-38"
"117000","234","234","234","-38","-38","-38"
"117500","235","235","235","-38","-38","-38"
"118000","236","236","236","-38","-38","-38"
"118500","237","237","237","-38","-38","-38"
"119000","238","238","238","-38","-38","-38"
"119500","239","239","239","-38","-38","-38"
"120000","240","240","240","-38","-38","-38"
"120500","241","241","241","-38","-38","-38"
"121000","242","242","242","-38","-38","-38"
"121500","243","243","243","-38","-38","-38"
"122000","244","244","244","-38","-38","-38"
"122500","245","245","245","-38","-38","-38"
"123000","246","246","246","-38","-38","-38"
"123500","247","247","247","-38","-38","-38"
"124000","248","248","248","-38","-38","-38"
"124500","249","249","249","-38","-38","-38"
"125000","250","250","250","-38","-38","-38"
"125500","251","251","251","-38","-38","-38"
"126000","252","252","252","-38","-38","-38"
"126500","253","253","253","-38","-38","-38"
"127000","254","254","254","-38","-38","-38"
"127500","255","255","255","-38","-38","-38"
"128000","256","256","256","-38","-38","-38"
"128500","257","257","257","-38","-38","-38"
"129000","258","258","258","-38","-38","-38"
"129500","259","259","259","-38","-38","-38"
"130000","260","260","260","-38","-38","-38"
"130500","261","261","261","-38","-38","-38"
"131000","262","262","262","-38","-38","-38"
"131500","263","263","263","-38","-38","-38"
"132000","264","264","264","-38","-38","-38"
"132500","265","265","265","-38","-38","-38"
"133000","266","266","266","-38","-38","-38"
"133500","267","267","267","-38","-38","-38"
"134000","268","268","268","-38","-38","-38"
"134500","269","269","269","-38","-38","-38"
"135000","270","270","270","-38","-38","-38"
"135500","271","271","271","-38","-38","-38"
"136000","272","272","272","-38","-38","-38"
"136500","273","273","273","-38","-38","-38"
"137000","274","274","274","-38","-38","-38"
"137500","275","275","275","-38","-38","-38"
"138000","276","276","276","-38","-38","-38"
"138500","277","277","277","-38","-38","-38"
"139000","278","278","278","-38","-38","-38"
"139500","279","279","279","-38","-38","-38"
"140000","280","280","280","-38","-38","-38"
"140500","281","281","281","-38","-38","-38"
"141000","282","282","282","-38","-38","-38"
"141500","283","283","283","-38","-38","-38"
"142000","284","284","284","-38","-38","-38"
"142500","285","285","285","-38","-38","-38"
"143000","286","286","286","-38","-38","-38"
"143500","287","287","287","-38","-38","-38"
"144000","288","288","288","-38","-38","-38"
"144500","289","289","289","-38","-38","-38"
"145000","290","290","290","-38","-38","-38"
"145500","291","291","291","-38","-38","-38"
"146000","292","292","292","-38","-38","-38"
"146500","293","293","293","-38","-38","-38"
"147000","294","294","294","-38","-38","-38"
"147500","295","295","295","-38","-38","-38"
"148000","296","296","296","-38","-38","-38"
"148500","297","297","297","-38","-38","-38"
"149000","298","298","298","-38","-38","-38"
"149500","299","299","299","-38","-38","-38"
"150000","300","300","300","-38","-38","-38"
"150500","301","301","301","-38","-38","-38"
"151000","302","302","302","-38","-38","-38"
"151500","303","303","303","-38","-38","-38"
"152000","304","304","304","-38","-38","-38"
"152500","305","305","305","-38","-38","-38"
"153000","306","306","306","-38","-38","-38"
"153500","307","307","307","-38","-38","-38"
"154000","308","308","308","-38","-38","-38"
"154500","309","309","309","-38","-38","-38"
"155000","310","310","310","-38","-38","-38"
"155500","311","311","311","-38","-38","-38"
"156000","312","312","312","-38","-38","-38"
"156500","313","313","313","-38","-38","-38"
"157000","314","314","314","-38","-38","-38"
"157500","315","315","315","-38","-38","-38"
"158000","316","316","316","-38","-38","-38"
"158500","317","317","317","-38","-38","-38"
"159000","318","318","318","-38","-38","-38"
"159500","319","319","319","-38","-38","-38"
"160000","320","320","320","-38","-38","-38"