"Step","autumn-music-412 - metrics/evaluation/acc_reward","autumn-music-412 - metrics/evaluation/acc_reward__MIN","autumn-music-412 - metrics/evaluation/acc_reward__MAX","glamorous-surf-411 - metrics/evaluation/acc_reward","glamorous-surf-411 - metrics/evaluation/acc_reward__MIN","glamorous-surf-411 - metrics/evaluation/acc_reward__MAX","fallen-plasma-410 - metrics/evaluation/acc_reward","fallen-plasma-410 - metrics/evaluation/acc_reward__MIN","fallen-plasma-410 - metrics/evaluation/acc_reward__MAX","lilac-dust-409 - metrics/evaluation/acc_reward","lilac-dust-409 - metrics/evaluation/acc_reward__MIN","lilac-dust-409 - metrics/evaluation/acc_reward__MAX","trim-disco-408 - metrics/evaluation/acc_reward","trim-disco-408 - metrics/evaluation/acc_reward__MIN","trim-disco-408 - metrics/evaluation/acc_reward__MAX","deep-dew-407 - metrics/evaluation/acc_reward","deep-dew-407 - metrics/evaluation/acc_reward__MIN","deep-dew-407 - metrics/evaluation/acc_reward__MAX","helpful-butterfly-406 - metrics/evaluation/acc_reward","helpful-butterfly-406 - metrics/evaluation/acc_reward__MIN","helpful-butterfly-406 - metrics/evaluation/acc_reward__MAX","silvery-sound-405 - metrics/evaluation/acc_reward","silvery-sound-405 - metrics/evaluation/acc_reward__MIN","silvery-sound-405 - metrics/evaluation/acc_reward__MAX","drawn-star-404 - metrics/evaluation/acc_reward","drawn-star-404 - metrics/evaluation/acc_reward__MIN","drawn-star-404 - metrics/evaluation/acc_reward__MAX","helpful-dragon-403 - metrics/evaluation/acc_reward","helpful-dragon-403 - metrics/evaluation/acc_reward__MIN","helpful-dragon-403 - metrics/evaluation/acc_reward__MAX"
"0","-16","-16","-16","-17","-17","-17","-17","-17","-17","-15","-15","-15","-17","-17","-17","-18","-18","-18","-19","-19","-19","-16","-16","-16","-17","-17","-17","-17","-17","-17"
"1","-19","-19","-19","-19","-19","-19","-15","-15","-15","-19","-19","-19","-17","-17","-17","-20","-20","-20","-28","-28","-28","-20","-20","-20","-17","-17","-17","-18","-18","-18"
"2","-33","-33","-33","-22","-22","-22","-22","-22","-22","-18","-18","-18","-26","-26","-26","-19","-19","-19","-20","-20","-20","-16","-16","-16","-17","-17","-17","-16","-16","-16"
"3","-16","-16","-16","-19","-19","-19","-18","-18","-18","-19","-19","-19","-16","-16","-16","-17","-17","-17","-20","-20","-20","-22","-22","-22","-16","-16","-16","-21","-21","-21"
"4","-21","-21","-21","-20","-20","-20","-17","-17","-17","-19","-19","-19","-22","-22","-22","-21","-21","-21","-24","-24","-24","-17","-17","-17","-18","-18","-18","-25","-25","-25"
"5","-17","-17","-17","-17","-17","-17","-17","-17","-17","-18","-18","-18","-18","-18","-18","-21","-21","-21","-19","-19","-19","-27","-27","-27","-17","-17","-17","-31","-31","-31"
"6","-20","-20","-20","-22","-22","-22","-16","-16","-16","-17","-17","-17","-25","-25","-25","-20","-20","-20","-18","-18","-18","-24","-24","-24","-19","-19","-19","-25","-25","-25"
"7","-18","-18","-18","-27","-27","-27","-16","-16","-16","-28","-28","-28","-19","-19","-19","-18","-18","-18","-16","-16","-16","-24","-24","-24","-18","-18","-18","-20","-20","-20"
"8","-19","-19","-19","-20","-20","-20","-17","-17","-17","-19","-19","-19","-17","-17","-17","-16","-16","-16","-17","-17","-17","-21","-21","-21","-17","-17","-17","-17","-17","-17"
"9","-19","-19","-19","-19","-19","-19","-15","-15","-15","-22","-22","-22","-15","-15","-15","-18","-18","-18","-27","-27","-27","-19","-19","-19","-33","-33","-33","-20","-20","-20"
"10","-17","-17","-17","-25","-25","-25","-15","-15","-15","-23","-23","-23","-18","-18","-18","-20","-20","-20","-16","-16","-16","-22","-22","-22","-17","-17","-17","-16","-16","-16"
"11","-16","-16","-16","-16","-16","-16","-20","-20","-20","-23","-23","-23","-20","-20","-20","-21","-21","-21","-25","-25","-25","-18","-18","-18","-29","-29","-29","-25","-25","-25"
"12","-20","-20","-20","-22","-22","-22","-16","-16","-16","-18","-18","-18","-21","-21","-21","-26","-26","-26","-21","-21","-21","-17","-17","-17","-21","-21","-21","-17","-17","-17"
"13","-21","-21","-21","-20","-20","-20","-15","-15","-15","-21","-21","-21","-16","-16","-16","-26","-26","-26","-16","-16","-16","-24","-24","-24","-20","-20","-20","-17","-17","-17"
"14","-18","-18","-18","-29","-29","-29","-16","-16","-16","-18","-18","-18","-17","-17","-17","-21","-21","-21","-25","-25","-25","-19","-19","-19","-20","-20","-20","-26","-26","-26"
"15","-22","-22","-22","-19","-19","-19","-17","-17","-17","-21","-21","-21","-18","-18","-18","-21","-21","-21","-21","-21","-21","-18","-18","-18","-22","-22","-22","-17","-17","-17"
"16","-20","-20","-20","-17","-17","-17","-18","-18","-18","-17","-17","-17","-20","-20","-20","-21","-21","-21","-19","-19","-19","-16","-16","-16","-20","-20","-20","-16","-16","-16"
"17","-25","-25","-25","-20","-20","-20","-18","-18","-18","-15","-15","-15","-19","-19","-19","-19","-19","-19","-39","-39","-39","-18","-18","-18","-19","-19","-19","-18","-18","-18"
"18","-20","-20","-20","-18","-18","-18","-24","-24","-24","-18","-18","-18","-15","-15","-15","-16","-16","-16","-20","-20","-20","-20","-20","-20","-18","-18","-18","-19","-19","-19"
"19","-20","-20","-20","-17","-17","-17","-23","-23","-23","-24","-24","-24","-20","-20","-20","-15","-15","-15","-16","-16","-16","-15","-15","-15","-15","-15","-15","-17","-17","-17"
"20","-17","-17","-17","-18","-18","-18","-16","-16","-16","-19","-19","-19","-17","-17","-17","-22","-22","-22","-18","-18","-18","-22","-22","-22","-20","-20","-20","-20","-20","-20"
"21","-20","-20","-20","-20","-20","-20","-17","-17","-17","-17","-17","-17","-23","-23","-23","-19","-19","-19","-17","-17","-17","-16","-16","-16","-27","-27","-27","-17","-17","-17"
"22","-21","-21","-21","-15","-15","-15","-18","-18","-18","-21","-21","-21","-17","-17","-17","-22","-22","-22","-20","-20","-20","-19","-19","-19","-25","-25","-25","-29","-29","-29"
"23","-20","-20","-20","-22","-22","-22","-19","-19","-19","-29","-29","-29","-21","-21","-21","-20","-20","-20","-19","-19","-19","-22","-22","-22","-21","-21","-21","-25","-25","-25"
"24","-26","-26","-26","-17","-17","-17","-25","-25","-25","-17","-17","-17","-26","-26","-26","-23","-23","-23","-20","-20","-20","-31","-31","-31","-15","-15","-15","-23","-23","-23"
"25","-28","-28","-28","-17","-17","-17","-16","-16","-16","-22","-22","-22","-20","-20","-20","-23","-23","-23","-16","-16","-16","-19","-19","-19","-22","-22","-22","-18","-18","-18"
"26","-25","-25","-25","-20","-20","-20","-23","-23","-23","-22","-22","-22","-22","-22","-22","-19","-19","-19","-21","-21","-21","-20","-20","-20","-18","-18","-18","-19","-19","-19"
"27","-25","-25","-25","-19","-19","-19","-25","-25","-25","-18","-18","-18","-17","-17","-17","-18","-18","-18","-31","-31","-31","-15","-15","-15","-22","-22","-22","-23","-23","-23"
"28","-17","-17","-17","-19","-19","-19","-16","-16","-16","-16","-16","-16","-21","-21","-21","-19","-19","-19","-27","-27","-27","-17","-17","-17","-17","-17","-17","-16","-16","-16"
"29","-19","-19","-19","-21","-21","-21","-16","-16","-16","-19","-19","-19","-22","-22","-22","-32","-32","-32","-20","-20","-20","-16","-16","-16","-15","-15","-15","-21","-21","-21"
"30","-18","-18","-18","-26","-26","-26","-17","-17","-17","-19","-19","-19","-16","-16","-16","-16","-16","-16","-17","-17","-17","-18","-18","-18","-22","-22","-22","-20","-20","-20"
"31","-25","-25","-25","-21","-21","-21","-18","-18","-18","-29","-29","-29","-26","-26","-26","-23","-23","-23","-18","-18","-18","-21","-21","-21","-20","-20","-20","-17","-17","-17"
"32","-19","-19","-19","-20","-20","-20","-16","-16","-16","-25","-25","-25","-19","-19","-19","-20","-20","-20","-22","-22","-22","-21","-21","-21","-18","-18","-18","-16","-16","-16"
"33","-16","-16","-16","-22","-22","-22","-22","-22","-22","-20","-20","-20","-17","-17","-17","-26","-26","-26","-21","-21","-21","-19","-19","-19","-18","-18","-18","-18","-18","-18"
"34","-27","-27","-27","-21","-21","-21","-20","-20","-20","-15","-15","-15","-23","-23","-23","-18","-18","-18","-18","-18","-18","-19","-19","-19","-29","-29","-29","-16","-16","-16"
"35","-20","-20","-20","-21","-21","-21","-19","-19","-19","-17","-17","-17","-22","-22","-22","-17","-17","-17","-16","-16","-16","-19","-19","-19","-25","-25","-25","-19","-19","-19"
"36","-19","-19","-19","-22","-22","-22","-20","-20","-20","-17","-17","-17","-26","-26","-26","-19","-19","-19","-19","-19","-19","-19","-19","-19","-19","-19","-19","-17","-17","-17"
"37","-18","-18","-18","-18","-18","-18","-18","-18","-18","-17","-17","-17","-20","-20","-20","-17","-17","-17","-18","-18","-18","-16","-16","-16","-20","-20","-20","-20","-20","-20"
"38","-18","-18","-18","-33","-33","-33","-17","-17","-17","-19","-19","-19","-16","-16","-16","-18","-18","-18","-17","-17","-17","-16","-16","-16","-21","-21","-21","-18","-18","-18"
"39","-18","-18","-18","-26","-26","-26","-22","-22","-22","-17","-17","-17","-16","-16","-16","-21","-21","-21","-19","-19","-19","-19","-19","-19","-17","-17","-17","-23","-23","-23"
"40","-17","-17","-17","-19","-19","-19","-18","-18","-18","-25","-25","-25","-20","-20","-20","-18","-18","-18","-19","-19","-19","-17","-17","-17","-17","-17","-17","-19","-19","-19"
"41","-15","-15","-15","-18","-18","-18","-17","-17","-17","-24","-24","-24","-20","-20","-20","-27","-27","-27","-23","-23","-23","-16","-16","-16","-17","-17","-17","-22","-22","-22"
"42","-16","-16","-16","-19","-19","-19","-21","-21","-21","-21","-21","-21","-19","-19","-19","-24","-24","-24","-20","-20","-20","-18","-18","-18","-19","-19","-19","-17","-17","-17"
"43","-23","-23","-23","-24","-24","-24","-17","-17","-17","-19","-19","-19","-16","-16","-16","-16","-16","-16","-19","-19","-19","-20","-20","-20","-21","-21","-21","-17","-17","-17"
"44","-20","-20","-20","-17","-17","-17","-19","-19","-19","-17","-17","-17","-24","-24","-24","-20","-20","-20","-15","-15","-15","-20","-20","-20","-21","-21","-21","-15","-15","-15"
"45","-21","-21","-21","-20","-20","-20","-20","-20","-20","-16","-16","-16","-22","-22","-22","-20","-20","-20","-17","-17","-17","-23","-23","-23","-18","-18","-18","-19","-19","-19"
"46","-22","-22","-22","-18","-18","-18","-19","-19","-19","-28","-28","-28","-17","-17","-17","-25","-25","-25","-20","-20","-20","-16","-16","-16","-16","-16","-16","-16","-16","-16"
"47","-19","-19","-19","-39","-39","-39","-15","-15","-15","-18","-18","-18","-16","-16","-16","-20","-20","-20","-19","-19","-19","-19","-19","-19","-18","-18","-18","-27","-27","-27"
"48","-18","-18","-18","-21","-21","-21","-18","-18","-18","-16","-16","-16","-19","-19","-19","-18","-18","-18","-18","-18","-18","-17","-17","-17","-18","-18","-18","-19","-19","-19"
"49","-22","-22","-22","-20","-20","-20","-26","-26","-26","-16","-16","-16","-22","-22","-22","-17","-17","-17","-28","-28","-28","-18","-18","-18","-22","-22","-22","-17","-17","-17"